视频id,视频发布日期,视频标题,总粉丝量(抖+火去重，和端上不一致),游戏内容类型3级标签名称(通过4级标签映射),游戏内容类型4级标签名称(人审+模型+可用状态),视频链接,是否投稿后两日内达到1W+ VV的视频,,,,,,,,,,,,
7482246375049088314,2025/3/16 11:37,重做胜率俯冲倒一？新版“重装流”娜可诠释强度！ #王者荣耀 #王者 #娜可露露 #101俱乐部 重做后的娜可大招喜获一段穿墙能力抓人效率就能如此恐怖，我不敢想象如果一个英雄能一直穿墙、这强度得有多么超标,26287,攻略类,游戏攻略,https://www.douyin.com/share/video/7482246375049088314/?mid=7482246226239605516,0,,,,,,,,,,,,
7490418607793425690,2025/4/7 12:10,s39曜前期最快刷野思路教学#曜,22356,攻略类,游戏攻略,https://www.douyin.com/share/video/7490418607793425690/?mid=7490418722084031270,0,,,,,,,,,,,,
7486041722116377892,2025/3/26 17:05,领先版本，以后kpl都会出现模仿的开法！ 然师傅教你普通人也能战胜职业选手,2151948,游戏解说,实战解说,https://www.douyin.com/share/video/7486041722116377892/?mid=7486041742316669707,0,,,,,,,,,,,,
7480893929160805691,2025/3/12 20:09,成为国服公孙离 看完我这一个视频就可以#国服 #公孙离 #细节操作 #游戏日常 #王者荣耀创作者激励计划 @DOU+上热门 @DOU+小助手,7997,游戏解说,实战解说,https://www.douyin.com/share/video/7480893929160805691/?mid=7480893826593196841,0,,,,,,,,,,,,
7486639160967613735,2025/3/28 7:44,新赛季 世一亚连0基础教学,99058,攻略类,游戏攻略,https://www.douyin.com/share/video/7486639160967613735/?mid=7486638902388820786,0,,,,,,,,,,,,
7466439003076660531,2025/2/1 21:17,荣耀皮肤大家感觉怎么样？#创作灵感 #游戏日常 #抽荣耀水晶 #对抗路日常 #游戏尴尬现场,90520,游戏解说,开箱解说,https://www.douyin.com/share/video/7466439003076660531/?mid=7466438790786075431,0,,,,,,,,,,,,
7490657109483310345,2025/4/8 3:39,挑战用7天时间打一个大国标第一期:1200-1500分教学#打野教学#国服嫦娥#嫦娥打野教学,1912,攻略类,游戏攻略,https://www.douyin.com/share/video/7490657109483310345/?mid=7490657943684270875,0,,,,,,,,,,,,
7485714880218025279,2025/3/25 20:01,浔一周瑜对局扁鹊发育路全局思路教学 ,427440,攻略类,游戏攻略,https://www.douyin.com/share/video/7485714880218025279/?mid=7485716088949426982,0,,,,,,,,,,,,
7485704121232706842,2025/3/25 19:19,峰2250中低分段裴擒虎打法思路，速刷的思路节奏 #打野教学 #裴擒虎 #光泽教练,15318,攻略类,游戏攻略,https://www.douyin.com/share/video/7485704121232706842/?mid=7485705344484789043,0,,,,,,,,,,,,
7485295475805932858,2025/3/24 16:49,亚瑟对线程咬金全程教学 #是的我玩王者荣耀,383737,攻略类,游戏攻略,https://www.douyin.com/share/video/7485295475805932858/?mid=7485295490028931890,0,,,,,,,,,,,,
7477439811255602491,2025/3/3 12:45,铠一级蓝开？猴子：那就反他的红！#国服猴子,8416,游戏解说,实战解说,https://www.douyin.com/share/video/7477439811255602491/?mid=7477439383113665295,0,,,,,,,,,,,,
7480197245522955578,2025/3/10 23:05,芈月对线孙策讲解教学 #芈月教学 #抖王杯,36157,攻略类,游戏攻略,https://www.douyin.com/share/video/7480197245522955578/?mid=7480197222795709223,0,,,,,,,,,,,,
7487210767629028648,2025/3/29 20:42,暗信打老夫子还是不难的，不过也别盯着老夫子打 #王者荣耀s39赛季巅峰赛登顶 #王者荣耀 #是的我玩王者荣耀,356799,游戏解说,实战解说,https://www.douyin.com/share/video/7487210767629028648/?mid=7487210693645650724,0,,,,,,,,,,,,
7480096626879499546,2025/3/10 16:35,〖第6集〗逆风局 打野思路详解#逆风局 #打野思路教学 #王者上分技巧,23399,攻略类,游戏攻略,https://www.douyin.com/share/video/7480096626879499546/?mid=7480096759935601446,0,,,,,,,,,,,,
7479281856660114748,2025/3/8 11:53,闪现孙尚香前期要多刷经济和反野，发育起来极限拿下五杀#孙尚香 #抖王杯 #王者搞笑 #秀出你的游戏神操作,101164,游戏解说,实战解说,https://www.douyin.com/share/video/7479281856660114748/?mid=7479281305641863951,0,,,,,,,,,,,,
7477930914572487975,2025/3/4 20:31,传送流李白又是谁的部将？ #守家日常,350173,游戏解说,实战解说,https://www.douyin.com/share/video/7477930914572487975/?mid=7477930822264294180,0,,,,,,,,,,,,
7486702458572426555,2025/3/28 11:49,韩信，下次遇到猴子，记得红开！#国服猴子 #齐天大圣 #身法猴,8416,攻略类,游戏攻略,https://www.douyin.com/share/video/7486702458572426555/?mid=7486702165747125031,0,,,,,,,,,,,,
7487857054296591674,2025/3/31 14:29,新赛季凯的二技能可以穿墙了，有位移的凯有点超标，极限拿下五杀#王者搞笑#新赛季#高光时刻 #王者荣耀s39赛季巅峰赛登顶 #王者荣耀,101164,游戏解说,实战解说,https://www.douyin.com/share/video/7487857054296591674/?mid=7487856654524959507,0,,,,,,,,,,,,
7489417989620632883,2025/4/4 19:27,国服敖隐逆风思路翻盘教学 #敖隐教学 #发育路教学 #射手教学,6899,攻略类,游戏攻略,https://www.douyin.com/share/video/7489417989620632883/?mid=7489417686507146020,0,,,,,,,,,,,,
7482712389649976616,2025/3/17 17:46,五分钟三杠七的韩信，还能逆风翻盘吗,2985390,游戏解说,实战解说,https://www.douyin.com/share/video/7482712389649976616/?mid=7482712564804094730,0,,,,,,,,,,,,
7477762899117739298,2025/3/4 9:39,对抗路打不过对面，那就不打,2985390,游戏解说,实战解说,https://www.douyin.com/share/video/7477762899117739298/?mid=7477762949051009846,0,,,,,,,,,,,,
7481058111407656229,2025/3/13 6:47,鉴定近期网络热门出装教学之白起肉墩子出装 #王者 #王者教学 #王者白起,45535,游戏解说,实战解说,https://www.douyin.com/share/video/7481058111407656229/?mid=7481058394409929510,0,,,,,,,,,,,,
7481606259532139788,2025/3/14 18:13,对线司空震就用“逐风吸血流” #暗信 #玖风暗信,145412,攻略类,游戏攻略,https://www.douyin.com/share/video/7481606259532139788/?mid=7481606327060482853,0,,,,,,,,,,,,
